"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET-URL";"DESCRIPTION";"GERDER";"HEIGHT";"IMAX";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PART-NUMBER";"PINS";"POPULARITY";"SPICEPREFIX";"TYPE";"VIN_MAX";"VOUT";
"1";"";"C-EUC0603";"C0603";"C47";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";"";"";"";
"1";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"28";"";"";"";"";
"1";"";"MICRO_SD_WE_693071010811";"693071010811";"SD_CARDHOLDER";"WR-CRD Micro SD Card Connector Push & Push 8 pins";"https://www.we-online.com/catalog/datasheet/693071010811.pdf";"";"Socket";"";"";"";"";"SMT";"";"";"693071010811";" 8 ";"";"";"Push & Push";"";"";
"8";"0.1u";"C-EUC0603";"C0603";"C31, C32, C34, C35, C37, C39, C40, C46";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";"";"";"";
"2";"0.1µF";"C-EUC0603";"C0603";"C3, CVCC";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";"";"";"";
"4";"0.1µF";"C-EUC0805";"C0805";"C6, C7, C13, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";"";"";"";
"1";"0.68µH";"SRP1238A-XXXX";"INDM135125X330N";"U$3";"Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0R";"R-EU_R0603";"R0603";"R38, R40";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";"";"";"";
"1";"1.5nF";"C-EUC0805";"C0805";"C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";"";"";"";
"1";"100";"R-EU_R0603";"R0603";"R37";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";"";"";"";
"2";"100R";"R-EU_R0603";"R0603";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";"";"";"";
"2";"100nF";"C-EUC0603";"C0603";"C42, C43";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";"";"";"";
"1";"100nF";"C-EUC0805";"C0805";"C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";"";"";"";
"1";"100pF";"C-EUC0805";"C0805";"C26";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"C";"";"";"";
"6";"100uF";"WCAP-ASLL-WEWCAP-ASLL";"CAPAE660X700N";"C4, C15, C24, C25, C29, C30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"105k";"R-EU_R0603";"R0603";"R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";"";"";"";
